x,y,class_id,class_name,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
647101.925132824,5584500.141851141,10,Forest,0.060816473388671875,0.06949971923828124,0.041745303344726564,0.07102367553710938,0.1790752685546875,0.2121403564453125,0.29066728515625,0.232385009765625,0.09098515625,0.046437890625
663143.3615411499,5592909.288974793,10,Forest,0.033337759399414066,0.037646197509765625,0.1917811767578125,0.235359716796875,0.3406424072265625,0.377610693359375,0.33656796875,0.402073681640625,0.2781664306640625,0.2134907958984375
642599.7620165605,5587046.969006164,10,Forest,0.038394598388671874,0.06822241821289063,0.04241300964355469,0.10894537353515625,0.2986152099609375,0.347215185546875,0.3598462646484375,0.3555170654296875,0.17851129150390624,0.08768074951171875
655234.894146756,5589925.61508681,10,Forest,0.10353331298828125,0.10036756591796875,0.11279158935546875,0.20407711181640625,0.299116259765625,0.343867041015625,0.313145849609375,0.3741009033203125,0.263152294921875,0.201658984375
656733.1470203133,5586733.665358555,10,Forest,0.0746335693359375,0.07899041748046876,0.0671488037109375,0.11444322509765625,0.29122314453125,0.35261142578125,0.3545013671875,0.37374697265625,0.18256097412109376,0.1043332275390625
657429.202256754,5592197.641695435,10,Forest,0.04336053161621094,0.04893179321289062,0.02029206085205078,0.042726953125,0.1031904296875,0.124020556640625,0.1092213134765625,0.13416220703125,0.058161572265625,0.031233346557617187
651057.1964979261,5571333.83223608,10,Forest,0.07572584838867187,0.09043028564453125,0.06268141479492187,0.09404102172851563,0.168296435546875,0.195077099609375,0.15111451416015625,0.2052318359375,0.13162376708984375,0.09338181762695312
651220.3540490234,5592804.014995538,10,Forest,0.3821833251953125,0.375456396484375,0.424710498046875,0.52809599609375,0.53449794921875,0.53686220703125,0.4807416015625,0.5359220703125,0.155801904296875,0.15734578857421874
654293.7769054556,5579762.964220052,10,Forest,0.0616305419921875,0.07663338623046875,0.060873529052734375,0.119338232421875,0.2509972412109375,0.2796567138671875,0.3012486572265625,0.3127546630859375,0.19149620361328126,0.11573031005859374
658446.1590417712,5592237.388840105,10,Forest,0.040574639892578125,0.047985800170898436,0.11109609375,0.171706298828125,0.3114915283203125,0.3499930908203125,0.370654833984375,0.367602685546875,0.2209167236328125,0.13730826416015626
660511.6972780445,5587579.774670517,10,Forest,0.07802420043945313,0.09602952270507813,0.06839973754882812,0.233527294921875,0.387216796875,0.43493544921875,0.41653720703125,0.460529052734375,0.249823681640625,0.1703634521484375
661179.4618147919,5569313.426312846,10,Forest,0.07078071899414062,0.06698746337890625,0.04090236206054688,0.09286307983398437,0.2568280029296875,0.3113876220703125,0.3270876220703125,0.3255716064453125,0.15149775390625,0.07196758422851562
643525.6014247331,5588509.193383462,10,Forest,0.05183235473632813,0.07854747924804688,0.0661685302734375,0.12330079345703125,0.247338134765625,0.282616943359375,0.2908518798828125,0.30689345703125,0.2210469970703125,0.12979029541015624
653385.3024899515,5573227.286580869,10,Forest,0.05190400390625,0.05816110229492188,0.07812555541992187,0.1146159423828125,0.2696652099609375,0.332300390625,0.2998583740234375,0.3446557861328125,0.1850822021484375,0.117112939453125
644072.2764119788,5583229.867696643,10,Forest,0.07252130737304688,0.0947291015625,0.08818306884765625,0.12355687255859375,0.22014794921875,0.251621044921875,0.260123974609375,0.27666181640625,0.20111923828125,0.1348999755859375
645864.3723829407,5587673.940556785,10,Forest,0.3007062255859375,0.2808296875,0.022495558166503907,0.0829769775390625,0.307797119140625,0.393941650390625,0.4001909423828125,0.424756103515625,0.18500196533203125,0.0838491943359375
656947.5114005923,5593861.6973983785,10,Forest,0.054584808349609375,0.06566766967773438,0.04220985107421875,0.0794816162109375,0.2027392333984375,0.2443932373046875,0.2717265869140625,0.2687988037109375,0.11135186767578124,0.056861956787109376
660956.0167625765,5589911.637023606,10,Forest,0.112078515625,0.12718427734375,0.10935689697265626,0.14014986572265625,0.312857080078125,0.3554218017578125,0.3158150390625,0.4057060302734375,0.21410419921875,0.14677066650390624
646098.6954658323,5581338.382811143,10,Forest,0.039566989135742185,0.05261145629882812,0.03276389465332031,0.07715530395507812,0.19069036865234376,0.2221090576171875,0.2232425048828125,0.2395775634765625,0.11720146484375,0.05925096435546875
653318.9782040182,5584732.534629597,10,Forest,0.03678456726074219,0.05738880615234375,0.03361615905761719,0.07747839965820312,0.22036650390625,0.273758154296875,0.26906630859375,0.2942352294921875,0.1387767333984375,0.07158313598632812
661039.5029484483,5596090.276151655,10,Forest,0.03710731201171875,0.04585029296875,0.05312645263671875,0.08828715209960937,0.2224975830078125,0.2569998291015625,0.15442738037109374,0.27379638671875,0.201929248046875,0.11969119873046875
